#,Item No.,Item Description,Base Price List,Factor,Primary Currency - Base Price (currency),Primary Currency - Base Price,Primary Currency - Price (currency),Primary Currency - Price,Primary Currency - Manual,Inventory UoM,Pricing Unit,Final Price,INR,USD,EURO
148,203804T06,Dome For TV Probe-(RIC5-9),Purchase Price List,1,INR,3750,INR,3750,N,Manual,Manual,3750,1,85.56,92.52
149,203804T07,Dome For 4D Probe-(RAB4-8),Purchase Price List,1,INR,4750,INR,4750,N,Manual,Manual,4750,1,85.56,92.52
150,203804T08,Biopsy Guide for Philips C8-4,Purchase Price List,1,INR,7700,INR,7700,N,Manual,Manual,7700,1,85.56,92.52
151,203804T09,ULTRASOUND PROBE-NEURAL 4C-RC,Purchase Price List,1,INR,52000,INR,52000,N,Manual,Manual,52000,1,85.56,92.52
152,203804T10,ULTRASOUND PROBE-CONVEX,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
153,203805T01,Mortara Holter cable with 10 lead wires - Snap,Purchase Price List,1,INR,1600,INR,1600,N,Manual,Manual,1600,1,85.56,92.52
154,203805T02,Disposable defib Paddles,Purchase Price List,1,INR,1600,INR,1600,N,Manual,Manual,1600,1,85.56,92.52
155,203805T0A,ECG Snap-Set of 10 Nos,Purchase Price List,1,USD,9.5,USD,9.5,N,Manual,Manual,812.82,1,85.56,92.52
156,203805T30,Disposable Button -Adult,Purchase Price List,1,INR,180,INR,180,N,Manual,Manual,180,1,85.56,92.52
157,203805T31,Disposable Button -Pediatric,Purchase Price List,1,INR,240,INR,240,N,Manual,Manual,240,1,85.56,92.52
158,203805T32,ECG LEADS-SET OF 10-HP  TRIM,Purchase Price List,1,INR,1750,INR,1750,N,Manual,Manual,1750,1,85.56,92.52
159,203805T51,3 Lead ECG Cable -Clip on GE  Dash 11 Pin,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
160,203805T88,ECG Trunk Cable for 5 Lead,Purchase Price List,1,INR,900,INR,900,N,Manual,Manual,900,1,85.56,92.52
161,203805T90,ECG LEADS-Neonatal Clip -SET OF 3 NOS,Purchase Price List,1,INR,750,INR,750,N,Manual,Manual,750,1,85.56,92.52
162,203805T91,ECG LEADS-SET OF 10 NOS -Philips,Purchase Price List,1,INR,1950,INR,1950,N,Manual,Manual,1950,1,85.56,92.52
163,203805T92,PACE MAKER CABLE - MEDTRONICS,Purchase Price List,1,INR,3550,INR,3550,N,Manual,Manual,3550,1,85.56,92.52
164,203805T93,ECG 6 Lead set for Multilink cable- Drager,Purchase Price List,1,INR,900,INR,900,N,Manual,Manual,900,1,85.56,92.52
165,203805T9I,ECG BUTTON ADAPTOR (SET OF 10),Purchase Price List,1,INR,870,INR,870,N,Manual,Manual,870,1,85.56,92.52
166,203805T9P,ECG LEADS -PINCH CLIP-ON-SET OF 3NO'S,Purchase Price List,1,INR,700,INR,700,N,Manual,Manual,700,1,85.56,92.52
167,203805T9S,Snap adaptor for Banana pin(Set of 6Nos),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
168,203805T9Z,MONITOR EARTH CABLE,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
169,203805TNE,PRE-WIRED DISPOSABLE NEONATAL ECG ELECTRODES- SET Of  3 NOS.,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
170,203806T01,Temperature Probe- Skin,Purchase Price List,1,INR,173.01,INR,173.01,N,Manual,Manual,173.01,1,85.56,92.52
171,203806T02,Temperature Probe- Rectal,Purchase Price List,1,INR,1.5,INR,1.5,N,Manual,Manual,1.5,1,85.56,92.52
172,203806T03,Temperature Probe- Skin,Purchase Price List,1,INR,550,INR,550,N,Manual,Manual,550,1,85.56,92.52
173,203806T04,Temperature Probe- Rectal,Purchase Price List,1,INR,550,INR,550,N,Manual,Manual,550,1,85.56,92.52
174,203806T05,Temperature Probe- Rectal,Purchase Price List,1,INR,500,INR,500,N,Manual,Manual,500,1,85.56,92.52
175,203806T0G,Temperature Probe- Rectal,Purchase Price List,1,INR,361.69,INR,361.69,N,Manual,Manual,361.69,1,85.56,92.52
176,203806T27,Dis.Pencil (3P),Purchase Price List,1,INR,143,INR,143,N,Manual,Manual,143,1,85.56,92.52
177,203806T28,Dis.Pencil (3P),Purchase Price List,1,USD,0.68,USD,0.68,N,Manual,Manual,58.1808,1,85.56,92.52
178,203806T39,Disposable Patient Plate -Adult-L & T,Purchase Price List,1,USD,1.05,USD,1.05,N,Manual,Manual,89.838,1,85.56,92.52
179,203806T40,Disposable Patient Plate -Adult-VALLEY LAB,Purchase Price List,1,USD,1.05,USD,1.05,N,Manual,Manual,89.838,1,85.56,92.52
180,203806T46,Disposable Patient Plate Cable ( Valleylab),Purchase Price List,1,USD,1.05,USD,1.05,N,Manual,Manual,89.838,1,85.56,92.52
181,203806T47,Disposable Patient Plate Cable (L&T),Purchase Price List,1,USD,1.05,USD,1.05,N,Manual,Manual,89.838,1,85.56,92.52
182,203806T48,Disposable Patient Plate -Adult-L & T-OBS,Purchase Price List,1,USD,1.25,USD,1.25,N,Manual,Manual,106.95,1,85.56,92.52
183,203806T49,Disposable Patient Plate Cable-ADULT ( Valleylab)-OBS,Purchase Price List,1,INR,130,INR,130,N,Manual,Manual,130,1,85.56,92.52
184,203806T57,Temperature probe -rectal(400 Series 10K),Purchase Price List,1,INR,157.18,INR,157.18,N,Manual,Manual,157.18,1,85.56,92.52
185,203806T60,Temperature probe -skin(400 SERIES 10 K),Purchase Price List,1,INR,131.24,INR,131.24,N,Manual,Manual,131.24,1,85.56,92.52
186,203806T65,Detachable Silicon Patient plate -Adult,Purchase Price List,1,INR,725,INR,725,N,Manual,Manual,725,1,85.56,92.52
